vendor,current_price,old_price,product_name,month
Metro,3.4899999999999998,4.49,Unsweetened Vanilla Flavoured Fortified Organic Almo...,8
Metro,3.4899999999999998,4.49,Unsweetened Vanilla Flavoured Fortified Organic Almo...,8
Metro,3.4899999999999998,4.49,Unsweetened Vanilla Flavoured Fortified Organic Almo...,8
Metro,3.4899999999999998,4.49,Unsweetened Vanilla Flavoured Fortified Organic Almo...,8
Metro,3.4899999999999998,4.49,Unsweetened Vanilla Flavoured Fortified Organic Almo...,8
Metro,3.4899999999999998,4.49,Unsweetened Vanilla Flavoured Fortified Organic Almo...,8
Metro,4.29,5.1899999999999995,Organic Brown & Red Rice With Chia And Kale,8
Metro,4.29,5.1899999999999995,Organic Brown & Red Rice With Chia And Kale,8
Metro,3.9899999999999998,5.1899999999999995,Organic Brown & Red Rice With Chia And Kale,8
Metro,3.9899999999999998,5.1899999999999995,Organic Brown & Red Rice With Chia And Kale,8
Metro,3.9899999999999998,5.1899999999999995,Organic Brown & Red Rice With Chia And Kale,8
Metro,3.9899999999999998,5.1899999999999995,Organic Brown & Red Rice With Chia And Kale,8
Metro,3.9899999999999998,5.1899999999999995,Organic Brown & Red Rice With Chia And Kale,8
Metro,3.9899999999999998,5.1899999999999995,Organic Brown & Red Rice With Chia And Kale,8
Metro,4.29,5.1899999999999995,Organic Brown & Red Rice With Chia And Kale,8
Metro,4.29,5.1899999999999995,Organic Brown & Red Rice With Chia And Kale,8
Metro,4.29,5.1899999999999995,Organic Brown & Red Rice With Chia And Kale,8
Metro,4.29,5.1899999999999995,Organic Brown & Red Rice With Chia And Kale,8
Metro,4.29,5.1899999999999995,Organic Brown & Red Rice With Chia And Kale,8
Metro,4.29,5.1899999999999995,Organic Brown & Red Rice With Chia And Kale,8
Metro,4.29,5.1899999999999995,Organic Brown & Red Rice With Chia And Kale,8
Metro,4.29,5.1899999999999995,Organic Brown & Red Rice With Chia And Kale,8
Metro,4.29,5.1899999999999995,Organic Brown & Red Rice With Chia And Kale,8
Metro,4.29,5.1899999999999995,Organic Brown & Red Rice With Chia And Kale,8
Metro,4.29,5.1899999999999995,Organic Brown & Red Rice With Chia And Kale,8
Metro,4.29,5.1899999999999995,Organic Brown & Red Rice With Chia And Kale,8
Metro,4.29,5.1899999999999995,Organic Brown & Red Rice With Chia And Kale,8
Metro,4.29,5.1899999999999995,Organic Brown & Red Rice With Chia And Kale,8
Metro,4.29,5.1899999999999995,Organic Brown & Red Rice With Chia And Kale,8
Metro,3,5.1899999999999995,Organic Brown & Red Rice With Chia And Kale,8
Metro,3,5.1899999999999995,Organic Brown & Red Rice With Chia And Kale,9
Metro,3,5.1899999999999995,Organic Brown & Red Rice With Chia And Kale,9
Metro,3,5.1899999999999995,Organic Brown & Red Rice With Chia And Kale,9
Metro,3,5.1899999999999995,Organic Brown & Red Rice With Chia And Kale,9
Metro,3,5.1899999999999995,Organic Brown & Red Rice With Chia And Kale,9
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",6
Metro,10.49,10.99,"All Purpose White Flour, Organic",7
Metro,10.49,10.99,"All Purpose White Flour, Organic",7
Metro,10.49,10.99,"All Purpose White Flour, Organic",7
Metro,10.49,10.99,"All Purpose White Flour, Organic",7
Metro,10.49,10.99,"All Purpose White Flour, Organic",7
Metro,10.49,10.99,"All Purpose White Flour, Organic",7
Metro,10.49,10.99,"All Purpose White Flour, Organic",7
Metro,10.49,10.99,"All Purpose White Flour, Organic",7
Metro,10.49,10.99,"All Purpose White Flour, Organic",7
Metro,10.49,10.99,"All Purpose White Flour, Organic",7
Metro,10.49,10.99,"All Purpose White Flour, Organic",7
Metro,10.49,10.99,"All Purpose White Flour, Organic",7
Metro,10.49,10.99,"All Purpose White Flour, Organic",7
Metro,10.49,10.99,"All Purpose White Flour, Organic",7
Metro,10.49,10.99,"All Purpose White Flour, Organic",7
Metro,10.49,10.99,"All Purpose White Flour, Organic",7
Metro,10.49,10.99,"All Purpose White Flour, Organic",7
Metro,10.49,10.99,"All Purpose White Flour, Organic",7
Metro,10.49,10.99,"All Purpose White Flour, Organic",7
Metro,10.49,10.99,"All Purpose White Flour, Organic",7
Metro,10.49,10.99,"All Purpose White Flour, Organic",7
Metro,10.49,10.99,"All Purpose White Flour, Organic",7
Metro,10.49,10.99,"All Purpose White Flour, Organic",7
Metro,10.49,10.99,"All Purpose White Flour, Organic",7
Metro,10.49,10.99,"All Purpose White Flour, Organic",7
Metro,10.49,10.99,"All Purpose White Flour, Organic",7
Metro,5.99,6.99,Organic Tamari Sauce,6
Metro,5.99,6.99,Organic Tamari Sauce,6
Metro,5.99,6.99,Organic Tamari Sauce,6
Metro,5.99,6.99,Organic Tamari Sauce,6
Metro,5.99,6.99,Organic Tamari Sauce,6
Metro,5.99,6.99,Organic Tamari Sauce,6
Metro,5.99,6.99,Reduced Sodium Organic Tamari Sauce,6
Metro,5.99,6.99,Reduced Sodium Organic Tamari Sauce,6
Metro,5.99,6.99,Reduced Sodium Organic Tamari Sauce,6
Metro,5.99,6.99,Reduced Sodium Organic Tamari Sauce,6
Metro,5.99,6.99,Reduced Sodium Organic Tamari Sauce,6
Metro,5.99,6.99,Reduced Sodium Organic Tamari Sauce,6
Metro,5.99,6.99,Reduced Sodium Organic Tamari Sauce,6
Metro,9.49,9.99,Amazing Dad's Organic BBQ Sauce,6
Metro,9.49,9.99,Amazing Dad's Organic BBQ Sauce,6
Metro,9.49,9.99,Amazing Dad's Organic BBQ Sauce,6
Metro,9.49,9.99,Amazing Dad's Organic BBQ Sauce,6
Metro,9.49,9.99,Amazing Dad's Organic BBQ Sauce,6
Metro,9.49,9.99,Amazing Dad's Organic BBQ Sauce,6
Metro,9.49,9.99,Amazing Dad's Organic BBQ Sauce,6
Metro,9.49,9.99,Amazing Dad's Organic BBQ Sauce,6
Metro,9.49,9.99,Amazing Dad's Organic BBQ Sauce,6
Metro,9.49,9.99,Amazing Dad's Organic BBQ Sauce,6
Metro,9.49,9.99,Amazing Dad's Organic BBQ Sauce,6
Metro,9.49,9.99,Amazing Dad's Organic BBQ Sauce,6
Metro,9.49,9.99,Amazing Dad's Organic BBQ Sauce,7
Metro,9.49,9.99,Amazing Dad's Organic BBQ Sauce,7
Metro,4.99,7.99,"Organic Peruvian Spice, Gourmet",7
Metro,4.99,7.99,"Organic Peruvian Spice, Gourmet",7
Metro,4.99,7.99,"Organic Peruvian Spice, Gourmet",7
Metro,4.99,7.99,"Organic Peruvian Spice, Gourmet",7
Metro,6.99,7.99,"Organic Peruvian Spice, Gourmet",8
Metro,6.99,7.99,"Organic Peruvian Spice, Gourmet",8
Metro,6.99,7.99,"Organic Peruvian Spice, Gourmet",8
Metro,6.99,7.99,"Organic Peruvian Spice, Gourmet",8
Metro,6.99,7.99,"Organic Peruvian Spice, Gourmet",8
Metro,6.99,7.99,"Organic Peruvian Spice, Gourmet",8
Metro,6.99,7.99,"Organic Peruvian Spice, Gourmet",8
Metro,6.99,7.99,"Organic Peruvian Spice, Gourmet",8
Metro,6.99,7.99,"Organic Peruvian Spice, Gourmet",8
Metro,6.99,7.99,"Organic Peruvian Spice, Gourmet",8
Metro,6.99,7.99,"Organic Peruvian Spice, Gourmet",8
